Name,Organization,Status
Henry H. Loring,US Army,Member
Samuel W. Hunt,US Army,Member
H. N. Baker,US Army,Member
James W. Webb,US Army,Member
Amos Woodward,US Army,Member
L. N. Morris,US Army,Member
Stewart Cowan,US Army,Member
Wm. Tolson,US Army,Member
James B. Allen,US Army,Member
Otis Wheeler,US Army,Member
Henry Bainbridge,US Army,Member
Duncan L. Clinch,US Army,Member
George M. Brooke,US Army,Member
James B. Many,US Army,Member
Saunders Donoho,US Army,Member
James H. Hook,US Army,Member
J. S. McIntosh,US Army,Member
James M. Glassel,US Army,Member
Francis L. Dade,US Army,Member
Philip Wager,US Army,Member
R. Humphreys,US Army,Member
Henry Wilson,US Army,Member
R. M. Sands,US Army,Member
Francis W. Brady,US Army,Member
Henry R. Dulany,US Army,Member
Wm. Lear,US Army,Member
Jer. Yancey,US Army,Member
George W. Allen,US Army,Member
J. Page,US Army,Member
Lee Slaughter,US Army,Member
Edward Webb,US Army,Member
W. M. Graham,US Army,Member
Edward Alexander,US Army,Member
Thomas Johnston,US Army,Member
Jos. B Shaw,US Army,Member
W. H. Mann,US Army,Member
R. B. A. Tate,US Army,Member
Arthur W. Thornton,US Army,Member
J. J. Jackson,US Army,Member
George Mountz,US Army,Member
Joshua B. Triplet,US Army,Member
Wm. Martin,US Army,Member
Thomas Burk,US Army,Member
Edward N. Dulany,US Army,Member
Wm. W. Gaillard,US Army,Member
David M. Porter,US Army,Member
Josiah Snelling ,US Army,Member
Henry Leavenworth,US Army,Member
J. E. Dickins,US Army,Member
Jacob H. Vose,US Army,Member
Sullivan Burbank,US Army,Member
George Bender,US Army,Member
John Bliss,US Army,Member
M. Marston,US Army,Member
John Fowle Jr.,US Army,Member
David Perry,US Army,Member
Bennet Riley,US Army,Member
Charles L. Cass,US Army,Member
Thomas F. Hunt,US Army,Member
J. Plympton,US Army,Member
S. B. Griswold,US Army,Member
D. Wilcox,US Army,Member
R. M. McCabe,US Army,Member
Nathan Clark,US Army,Member
T. Hunt,US Army,Member
J. McIlvain,US Army,Member
M. Scott,US Army,Member
G. Lowe,US Army,Member
P. R. Green,US Army,Member
Charles Burbridge,US Army,Member
J. C. Russell,US Army,Member
C. C. Hobart,US Army,Member
J. M. Baxley,US Army,Member
A. Pichevin,US Army,Member
Benjamiin Gorham,US Army,Member
W. E. Cruger,US Army,Member
Phineas Andrews,US Army,Member
Wm. Alexander,US Army,Member
Seth W. Capron,US Army,Member
Julius A. d'Lagnel,US Army,Member
Henry Atkinson,US Army,Member
Willoughby Morgan,US Army,Member
Alex. Cummings,US Army,Member
W. S. Foster,US Army,Member
Daniel Ketchum,US Army,Member
Thomas Hamilton,US Army,Member
W. Martin,US Army,Member
Matthew J. magee,US Army,Member
William Haile,US Army,Member
J. McGunnegle,US Army,Member
William Armstrong,US Army,Member
James S. Gray,US Army,Member
Ephraim Shaylor,US Army,Member
Isaac Clark Jr.,US Army,Member
John Gantt,US Army,Member
Gab. Field,US Army,Member
C. Pentland,US Army,Member
Thomas W. Kavanaugh,US Army,Member
L. Palmer,US Army,Member
Jacob Brown,US Army,Member
Samuel Shannon,US Army,Member
Henry Taylor,US Army,Member
Zalmon C. Palmer,US Army,Member
Wm. D. McCray,US Army,Member
W. N. Wickliffe,US Army,Member
John Duncan,US Army,Member
John Bradley,US Army,Member
N. J. Cruger,US Army,Member
Thomas Noel,US Army,Member
W. W. Morris,US Army,Member
Wharton Rector,US Army,Member
Richard Wells,US Army,Member
Joseph Buckley,US Army,Member
Joseph Pentland,US Army,Member
Matthew Arbuckle,US Army,Member
Z. Taylor,US Army,Member
A. R. Woolley,US Army,Member
W. Bradford,US Army,Member
D. E. Twiggs,US Army,Member
William Davenport,US Army,Member
J. S. Allison,US Army,Member
George Birch,US Army,Member
R. B. Hyde,US Army,Member
Nathaniel Young,US Army,Member
G. Leftwich,US Army,Member
Trueman Cross,US Army,Member
Daniel E. Burch,US Army,Member
Henry Berryman,US Army,Member
George Murdoch,US Army,Member
J. Wheelock,US Army,Member
Nathl. G. Wilkinson,US Army,Member
John Philbrick,US Army,Member
A. M. Houston,US Army,Member
W. N. Bronaugh,US Army,Member
Richard Wash,US Army,Member
B. L. E. Bonneville,US Army,Member
John B. Hobkirk,US Army,Member
Pierce Butler,US Army,Member
John Stewart,US Army,Member
W. S. Colquhoun,US Army,Member
William W. Outlaw,US Army,Member
John McCauley,US Army,Member
Norman Holmes,US Army,Member
Edgar S. Hawkins,US Army,Member
R. D. A. Wade,US Army,Member
Robert Ross,US Army,Member
James Dawson,US Army,Member
James Henshaw,US Army,Member
Samuel Harrison Smith,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,Member
John Law,Columbian Institute for the Promotion of Arts and Sciences,Member
Alexander McWilliams,Columbian Institute for the Promotion of Arts and Sciences,Member
Edward Cutbush,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Law,Columbian Institute for the Promotion of Arts and Sciences,Member
John Quincy Adams,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Jackson,Columbian Institute for the Promotion of Arts and Sciences,Member
John C. Calhoun,Columbian Institute for the Promotion of Arts and Sciences,Member
Henry Clay,Columbian Institute for the Promotion of Arts and Sciences,Member
William H. Crawford,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Rush,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel D. Ingham,Columbian Institute for the Promotion of Arts and Sciences,Member
James Barbour,Columbian Institute for the Promotion of Arts and Sciences,Member
Joel R. Poinsett,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel L. Southard,Columbian Institute for the Promotion of Arts and Sciences,Member
Mahlon Dickerson,Columbian Institute for the Promotion of Arts and Sciences,Member
John M. Berrien,Columbian Institute for the Promotion of Arts and Sciences,Member
William Wirt,Columbian Institute for the Promotion of Arts and Sciences,Member
John McLean,Columbian Institute for the Promotion of Arts and Sciences,Member
William T. Barry,Columbian Institute for the Promotion of Arts and Sciences,Member
Simon Bernard,Columbian Institute for the Promotion of Arts and Sciences,Member
George Gibson,Columbian Institute for the Promotion of Arts and Sciences,Member
